519770,"[13.71142857142857, 7]"
258679521,"[31.61181818181818, 11]"
140674032,"[23.67111111111111, 9]"
60872187,"[34.69666666666667, 15]"
168785644,"[25.47777777777778, 9]"
1176523959,"[30.899285714285714, 14]"
9979778,"[24.62833333333333, 12]"
58201677,"[20.142857142857142, 14]"
30041610,"[25.757272727272724, 11]"
152985237,"[19.417777777777776, 9]"
83487685,"[18.811999999999998, 10]"
224086162,"[22.75, 12]"
95484339,"[23.504444444444445, 9]"
101718397,"[22.740769230769235, 13]"
86834494,"[19.408461538461534, 13]"
83833103,"[27.292857142857144, 14]"
182499517,"[25.34125, 8]"
192389582,"[21.981, 10]"
58762087,"[15.1, 1]"
126971369,"[26.62181818181818, 11]"
33840077,"[22.843333333333334, 3]"
67924318,"[20.813333333333336, 3]"
89104101,"[11.33, 4]"
205436003,"[24.63, 6]"
80718533,"[14.18, 1]"
91703580,"[5.45, 1]"
16710765,"[9.45, 1]"
158722998,"[11.0, 2]"
102264839,"[38.43000000000001, 2]"
14099232,"[19.57, 1]"
173067337,"[14.0, 1]"
14678273,"[10.69, 1]"
171871486,"[28.02, 1]"
102946451,"[13.71, 1]"
